@relation 'Road Accident Occurence'

@attribute Day_of_week {Monday,Sunday,Friday,Wednesday,Saturday,Thursday,Tuesday}
@attribute Road_surface_conditions {Dry,Wet,Snow,Flood}
@attribute Weather_conditions {Normal,Raining,'Raining and Windy',Cloudy,Other,Windy,Snow,Unknown,'Fog or mist'}
@attribute Number_of_vehicles_involved numeric
@attribute Sex_of_casualty {na,Male,Female}
@attribute Accident_severity {Slight,Serious,Fatal}

@data
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Serious
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,1,Male,Slight
Wednesday,Dry,Normal,1,Female,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,Male,Serious
Saturday,Dry,Normal,2,na,Serious
Saturday,Dry,Normal,2,Male,Serious
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,2,Female,Serious
Monday,Wet,Raining,2,na,Serious
Monday,Wet,Raining,2,na,Slight
Monday,Wet,Raining,2,na,Serious
Monday,Wet,Raining,2,na,Slight
Tuesday,Dry,Normal,2,Male,Serious
Tuesday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,1,Male,Serious
Thursday,Dry,Normal,2,Female,Serious
Thursday,Dry,Normal,2,Male,Serious
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,1,na,Slight
Tuesday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,1,na,Slight
Thursday,Dry,Normal,1,Male,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Female,Slight
Saturday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Female,Slight
Friday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,Male,Slight
Friday,Dry,Normal,1,na,Serious
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Tuesday,Dry,Normal,2,Female,Slight
Tuesday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Male,Slight
Thursday,Dry,Normal,2,na,Slight
Tuesday,Wet,Raining,2,na,Slight
Tuesday,Wet,Raining,2,Male,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Male,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,1,Male,Slight
Thursday,Dry,Normal,1,Male,Slight
Thursday,Dry,Normal,1,na,Slight
Thursday,Dry,Normal,1,Female,Slight
Tuesday,Dry,Normal,1,Male,Serious
Wednesday,Dry,Normal,1,na,Slight
Sunday,Dry,Normal,2,Female,Slight
Sunday,Dry,Normal,2,na,Slight
Wednesday,Wet,Normal,2,Female,Serious
Wednesday,Wet,Normal,2,Male,Serious
Sunday,Dry,Normal,1,na,Slight
Sunday,Dry,Normal,1,Female,Slight
Wednesday,Dry,Normal,2,Female,Slight
Wednesday,Dry,Normal,2,na,Slight
Wednesday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Female,Serious
Monday,Dry,Normal,2,na,Serious
Sunday,Dry,Normal,2,Male,Fatal
Sunday,Dry,Normal,2,Male,Fatal
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,na,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,na,Slight
Thursday,Dry,Normal,3,na,Slight
Thursday,Dry,Normal,3,na,Slight
Thursday,Dry,Normal,3,Female,Slight
Sunday,Dry,Normal,2,Male,Slight
Sunday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,Female,Slight
Thursday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,Male,Slight
Monday,Dry,Normal,2,na,Slight
Monday,Dry,Normal,1,Male,Slight
Thursday,Dry,Normal,1,na,Serious
Thursday,Dry,Normal,1,Male,Serious
Thursday,Dry,Normal,1,na,Serious
Thursday,Dry,Normal,1,na,Serious
Monday,Dry,Normal,3,na,Slight
Monday,Dry,Normal,3,Male,Slight
Monday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,2,na,Slight
Friday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,1,Female,Slight
Friday,Dry,Normal,1,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,na,Slight
Saturday,Dry,Normal,2,Male,Slight
Saturday,Dry,Normal,2,na,Slight
Wednesday,Wet,Raining,2,Male,Slight
Wednesday,Wet,Raining,2,na,Slight
Friday,Dry,Normal,3,Female,Slight
Friday,Dry,Normal,3,na,Slight
Friday,Dry,Normal,3,Male,Slight
Tuesday,Dry,Normal,1,Female,Serious
Monday,Dry,Normal,2,Female,Slight
Monday,Dry,Normal,2,na,Slight
Saturday,Wet,Normal,1,Male,Slight
Sunday,Dry,Normal,1,na,Slight
Sunday,Dry,Normal,1,Male,Slight
Sunday,Dry,Normal,1,Male,Slight
Wednesday,Dry,Normal,1,na,Slight
Saturday,Wet,Raining,2,Male,Slight
Saturday,Wet,Raining,2,Male,Slight
Friday,Wet,Normal,1,Male,Serious
Saturday,Dry,Normal,1,Male,Slight
Friday,Dry,Normal,1,na,Slight
Friday,Wet,Raining,2,Female,Serious
Friday,Wet,Raining,2,Male,Serious
Thursday,Wet,Normal,1,Male,Serious
Thursday,Wet,Normal,1,na,Serious
Friday,Wet,Raining,1,na,Slight
Friday,Wet,Raining,1,Male,Slight
Friday,Wet,Raining,1,Male,Slight
Friday,Wet,Raining,1,Female,Slight
Saturday,Dry,Normal,1,Male,Slight
Friday,Wet,Raining,1,Male,Slight
Sunday,Dry,Normal,2,na,Slight
